".O_302","[Lunes] =[1100 - 1220, 0930 - 1050, 1400 - 1520, 0800 - 0920, 1230 - 1350, 1530 - 1620] [Martes] =[0800 - 0920, 1100 - 1220, 0930 - 1050, 1400 - 1520, 0630 - 0750, 1530 - 1650, 1230 - 1320] [Miércoles] =[1100 - 1220, 1800 - 2050, 1400 - 1520, 1530 - 1650, 0800 - 0920, 1230 - 1320, 0930 - 1020] [Jueves] =[0800 - 0920, 1100 - 1220, 0930 - 1050, 1530 - 1650, 1400 - 1520, 0630 - 0750, 1230 - 1350] [Viernes] =[0800 - 0920, 1400 - 1520, 1530 - 1650, 1100 - 1220, 1230 - 1350, 0930 - 1020] [Sabado] =[0830 - 1250] [Domingo] =[] "
".LL_301","[Lunes] =[1530 - 1650, 0800 - 0920, 1400 - 1520, 1700 - 1850, 0630 - 0750, 0930 - 1020, 1230 - 1350, 1100 - 1150] [Martes] =[0630 - 0750, 1100 - 1220, 1800 - 2050, 1530 - 1750, 0800 - 0920, 0930 - 1050] [Miércoles] =[0930 - 1050, 1100 - 1220, 1700 - 1950, 1530 - 1650, 1400 - 1520, 1230 - 1350, 0800 - 0920] [Jueves] =[1530 - 1650, 1100 - 1220, 0930 - 1050, 0630 - 0750, 1730 - 1850, 1230 - 1350] [Viernes] =[0930 - 1050, 0630 - 0750, 1100 - 1220, 1530 - 1650, 1400 - 1520, 1230 - 1350, 0800 - 0920] [Sabado] =[] [Domingo] =[] "
".SD_801","[Lunes] =[1100 - 1220, 1400 - 1520, 1530 - 1650, 0800 - 0850, 1800 - 2050, 0930 - 1050, 0630 - 0750] [Martes] =[1230 - 1350, 1400 - 1520, 1700 - 1820, 0800 - 0920, 1100 - 1220, 0930 - 1050, 0630 - 0750, 1530 - 1650] [Miércoles] =[1100 - 1220, 1400 - 1520, 0930 - 1050, 1230 - 1350, 0800 - 0850, 1800 - 2050, 0630 - 0750] [Jueves] =[1230 - 1350, 1400 - 1520, 1530 - 1650, 0800 - 0920, 1100 - 1220, 0930 - 1050, 1800 - 2050] [Viernes] =[1400 - 1520, 0930 - 1050, 0630 - 0750, 1100 - 1220, 1230 - 1350, 0800 - 0850, 1800 - 2050] [Sabado] =[0800 - 1050, 0800 - 1150, 1300 - 1650, 1400 - 1750] [Domingo] =[] "
".ML_604","[Lunes] =[1230 - 1350, 1530 - 1650, 1400 - 1520, 0800 - 0920, 1100 - 1220, 1800 - 2050, 0930 - 1050] [Martes] =[1530 - 1650, 0930 - 1220, 0630 - 0750, 0800 - 0920, 1230 - 1350, 1400 - 1520, 1800 - 2050] [Miércoles] =[1530 - 1650, 1230 - 1350, 1400 - 1520, 0800 - 0920, 1100 - 1220, 0930 - 1050] [Jueves] =[1100 - 1220, 0930 - 1050, 1400 - 1520, 0630 - 0750, 0800 - 0920, 1230 - 1350, 1600 - 1750, 1800 - 2050] [Viernes] =[1530 - 1650, 1230 - 1350, 1100 - 1220, 0930 - 1050, 0800 - 0920, 0630 - 0750, 1400 - 1520, 1800 - 1920] [Sabado] =[1100 - 1350] [Domingo] =[] "
".ML_607","[Lunes] =[1530 - 1650, 0800 - 0920, 1230 - 1350, 1100 - 1220, 0930 - 1050, 1400 - 1520, 1700 - 1820] [Martes] =[0630 - 0750, 0930 - 1050, 1400 - 1520, 1530 - 1650, 1700 - 1820, 0800 - 0920, 1100 - 1220, 1230 - 1350] [Miércoles] =[0630 - 0920, 1530 - 1650, 1100 - 1220, 1230 - 1350, 1400 - 1520, 1700 - 1820, 0930 - 1050] [Jueves] =[1100 - 1220, 0930 - 1050, 1530 - 1650, 1400 - 1520, 1700 - 1820, 0630 - 0750, 1230 - 1350, 0800 - 0920] [Viernes] =[0630 - 0750, 1400 - 1520, 1530 - 1650, 0800 - 0920, 1230 - 1350, 1100 - 1220, 0930 - 1050] [Sabado] =[] [Domingo] =[] "
".ML_606","[Lunes] =[0630 - 0750, 1230 - 1350, 1530 - 1650, 0800 - 0920, 1100 - 1220, 0930 - 1020, 1700 - 1820, 1400 - 1520] [Martes] =[0800 - 0920, 0930 - 1050, 1700 - 1820, 1530 - 1650, 0630 - 0750, 1100 - 1220, 1400 - 1520, 1230 - 1350] [Miércoles] =[0630 - 0750, 1400 - 1520, 0800 - 0920, 1530 - 1820, 1100 - 1220, 0930 - 1020, 1230 - 1350] [Jueves] =[1100 - 1220, 0930 - 1050, 1530 - 1650, 0630 - 0750, 0800 - 0920, 1400 - 1520, 1700 - 1850, 1230 - 1350] [Viernes] =[0700 - 0850, 1100 - 1220, 0930 - 1020, 1400 - 1520, 1230 - 1350] [Sabado] =[0800 - 1150] [Domingo] =[] "
".SD_704","[Lunes] =[0800 - 0920, 1400 - 1520, 1100 - 1220, 0930 - 1050, 1530 - 1650, 1900 - 2050, 1800 - 1850, 1230 - 1350] [Martes] =[0800 - 0920, 1400 - 1520, 0930 - 1050, 1700 - 1950, 1230 - 1350, 1530 - 1650, 1100 - 1220] [Miércoles] =[0800 - 0920, 0930 - 1050, 1830 - 2120, 1700 - 1820, 1530 - 1650, 1100 - 1350, 1400 - 1520] [Jueves] =[1400 - 1520, 0800 - 0920, 0930 - 1050, 1230 - 1350, 1530 - 1650, 1100 - 1220] [Viernes] =[1300 - 1750, 0630 - 1120, 1400 - 1650, 0800 - 1150, 0630 - 0950, 1000 - 1350, 0630 - 0920] [Sabado] =[0700 - 1050, 0630 - 0950, 1000 - 1350, 0800 - 1150, 1200 - 1750] [Domingo] =[] "
".LL_304","[Lunes] =[0800 - 0920, 1530 - 1650, 0630 - 0750, 1400 - 1520, 0930 - 1050, 1230 - 1320, 1100 - 1150] [Martes] =[1100 - 1220, 0930 - 1050, 1530 - 1650, 1400 - 1520, 1700 - 1750, 0630 - 0920] [Miércoles] =[1530 - 1650, 1100 - 1220, 0630 - 0920, 1230 - 1350, 1400 - 1520, 0930 - 1050, 1700 - 1750] [Jueves] =[0800 - 0920, 0630 - 0750, 1100 - 1220, 0930 - 1050, 1530 - 1650, 1400 - 1520, 1700 - 1750, 1230 - 1320] [Viernes] =[1400 - 1550, 0630 - 1120, 1230 - 1350, 1700 - 1750] [Sabado] =[0630 - 0820] [Domingo] =[] "
".LL_303","[Lunes] =[1530 - 1650, 1800 - 2050, 1200 - 1250, 1300 - 1350, 1100 - 1150, 0630 - 0750, 1400 - 1520, 0800 - 0950] [Martes] =[0930 - 1050, 0800 - 0920, 1530 - 1650, 1400 - 1520, 1100 - 1150] [Miércoles] =[1100 - 1220, 1530 - 1650, 0800 - 0920, 1400 - 1520, 0930 - 1050] [Jueves] =[1800 - 2050, 1230 - 1350, 1530 - 1650, 1400 - 1520, 1100 - 1150, 0630 - 0750, 0800 - 0950] [Viernes] =[0930 - 1050, 0800 - 0920, 1530 - 1650, 1100 - 1220, 0630 - 0750, 1400 - 1450] [Sabado] =[] [Domingo] =[] "
".O_304","[Lunes] =[0930 - 1120, 1300 - 1350, 0800 - 0920] [Martes] =[1100 - 1220, 1530 - 1750, 0930 - 1050, 0700 - 0850, 1230 - 1320] [Miércoles] =[0800 - 0920, 0930 - 1120, 1700 - 1950, 1400 - 1520, 1230 - 1350] [Jueves] =[0800 - 0920, 1530 - 1650, 1400 - 1520, 1230 - 1350, 0930 - 1050, 1100 - 1220] [Viernes] =[0800 - 0920, 0930 - 1050, 1400 - 1520, 1100 - 1220, 1230 - 1320] [Sabado] =[0930 - 1120] [Domingo] =[] "
".SD_715","[Lunes] =[1400 - 1520, 0930 - 1050, 0800 - 0920, 1100 - 1220, 1230 - 1350, 1800 - 2050] [Martes] =[1530 - 1650, 0630 - 0920, 0800 - 0920, 0930 - 1220, 1400 - 1520, 1230 - 1350, 1800 - 2050] [Miércoles] =[0930 - 1050, 1400 - 1520, 1530 - 1650, 0800 - 0920, 0630 - 0920, 1100 - 1220, 1230 - 1350, 0630 - 0750, 1800 - 2050] [Jueves] =[1700 - 2120, 1800 - 2050, 0630 - 0950, 0930 - 1220, 1230 - 1750, 0630 - 0920, 0930 - 1120, 1130 - 1350, 1400 - 1750] [Viernes] =[0800 - 1150, 1800 - 2050, 0630 - 1020, 0630 - 0950, 0930 - 1220, 1230 - 1750, 0630 - 0920, 1000 - 1350, 0930 - 1120, 1130 - 1350, 1400 - 1750] [Sabado] =[0700 - 1050, 0800 - 1150, 1200 - 1750] [Domingo] =[] "
".SD_806","[Lunes] =[0930 - 1050, 1230 - 1350, 1530 - 1820, 0800 - 0920, 1400 - 1520, 1100 - 1220] [Martes] =[1100 - 1220, 1530 - 1650, 1400 - 1520, 0930 - 1050, 0630 - 0750, 1700 - 1820, 0800 - 0920] [Miércoles] =[1230 - 1350, 1100 - 1220, 1530 - 1650, 0800 - 0920, 1400 - 1520, 1700 - 1820, 0930 - 1050] [Jueves] =[1230 - 1350, 1100 - 1220, 1400 - 1520, 0930 - 1050, 0630 - 0750, 1530 - 1650, 1700 - 1820, 0800 - 0920] [Viernes] =[0700 - 0850, 1100 - 1220, 1530 - 1650, 0930 - 1050, 1400 - 1520, 1230 - 1320] [Sabado] =[] [Domingo] =[] "
".ML_509","[Lunes] =[1100 - 1220, 0630 - 0750, 1400 - 1520, 1530 - 1620, 0930 - 1050, 1700 - 1950, 0800 - 0920] [Martes] =[0930 - 1050, 1400 - 1520, 1230 - 1350, 1100 - 1220, 1900 - 2020, 0630 - 0920, 1700 - 1850, 1530 - 1650] [Miércoles] =[1100 - 1220, 0630 - 0750, 1230 - 1350, 0930 - 1050, 1600 - 1850, 0800 - 0920, 1400 - 1520] [Jueves] =[0630 - 0750, 1230 - 1350, 1400 - 1520, 1100 - 1220, 0930 - 1050, 1530 - 1820, 1900 - 2020, 0800 - 0920] [Viernes] =[1400 - 1520, 1100 - 1220, 0630 - 0920, 1230 - 1350, 1700 - 1820, 0930 - 1050, 1530 - 1650] [Sabado] =[0930 - 1320, 0630 - 0920] [Domingo] =[] "
".SD_702","[Lunes] =[1100 - 1220, 0630 - 0750, 0930 - 1050, 0800 - 0920, 1400 - 1520, 1230 - 1320, 1530 - 1650] [Martes] =[1400 - 1520, 0930 - 1050, 1100 - 1220, 0800 - 0920, 1530 - 1650, 1230 - 1350] [Miércoles] =[1230 - 1350, 1100 - 1220, 0630 - 0750, 1530 - 1650, 0930 - 1050, 0800 - 0920, 1400 - 1520, 1800 - 2050] [Jueves] =[1100 - 1220, 1400 - 1520, 0930 - 1050, 1530 - 1650, 0630 - 0920, 1800 - 2050, 1230 - 1350] [Viernes] =[0630 - 0750, 1100 - 1220, 1530 - 1650, 0800 - 0920, 1400 - 1520, 0930 - 1050, 1230 - 1350, 1800 - 2050] [Sabado] =[0800 - 1150, 1400 - 1650, 1400 - 1750] [Domingo] =[] "
